,Name,Result
358,Bernard WILLIAMS III,20.01
359,Justin GATLIN,20.03
360,Michael JOHNSON,19.32
361,Frank FREDERICKS,19.68
362,Ato BOLDON,19.8
363,Pietro MENNEA,20.19
364,Allan WELLS,20.21
365,Donald QUARRIE,20.29
366,Valery BORZOV,20.0
367,Larry BLACK,20.19
368,Pietro MENNEA,20.3
369,Henry CARR,20.3
370,Paul DRAYTON,20.5
371,Edwin ROBERTS,20.6
372,Bobby MORROW,20.6
373,Andy STANFIELD,20.7
374,Thane BAKER,20.9
375,Mel PATTON,21.1
376,Barney EWELL,21.1
377,Lloyd LABEACH,21.2
378,Eddie TOLAN,21.2
379,George SIMPSON,21.4
380,Ralph METCALFE,21.5
381,Jackson SCHOLZ,21.6
382,Charles PADDOCK,21.7
383,Eric LIDDELL,21.9
384,Ralph CRAIG,21.7
385,Donald LIPPINCOTT,21.8
386,William APPLEGARTH,22.0
387,Archie HAHN,21.6
388,Nate CARTMELL,21.9
389,William HOGENSON,
390,Zhen WANG,1:19:14
391,Zelin CAI,1:19:26
392,Dane BIRD-SMITH,1:19:37
393,Valeriy BORCHIN,1h19:01
394,Jefferson PEREZ,1h19:15
395,Jared TALLENT,1h19:42
396,Robert KORZENIOWSKI,01h18:59
397,Noe HERNANDEZ,01h19:03
398,Vladimir ANDREYEV,01h19:27
399,Daniel PLAZA,1:21:45
400,Guillaume LEBLANC,1:22:25
401,Giovanni DE BENEDICTIS,1:23:11
402,Ernesto CANTO,1:23:13
403,RaÃºl GONZÃLEZ,1:23:20
404,Maurizio DAMILANO,1:23:26
405,Daniel BAUTISTA ROCHA,1:24:40.6
406,Hans REIMANN,1:25:13.8
407,Peter FRENKEL,1:25:29.4
408,Vladimir GOLUBNICHY,1:33:58.4
409,JosÃ© PEDRAZA,1:34:00.0
410,Nikolay SMAGA,1:34:03.4
411,Vladimir GOLUBNICHY,1:34:07.2
412,Noel FREEMAN,1:34:16.4
413,Stanley Frank VICKERS,1:34:56.4
414,Ding CHEN,1:18:46
415,Erick BARRONDO,1:18:57
416,Zhen WANG,1:19:25
417,Ivano BRUGNETTI,1h19:40
418,Francisco Javier FERNANDEZ,1h19:45
419,Nathan DEAKES,1h20:02
420,Jefferson PEREZ,1:20:07
421,Ilya MARKOV,1:20:16
422,Bernardo SEGURA,1:20:23
423,Jozef PRIBILINEC,1:19:57
424,Ronald WEIGEL,1:20:00
425,Maurizio DAMILANO,1:20:14
426,Maurizio DAMILANO,1:23:35.5
427,Piotr POCHINCHUK,1:24:45.4
428,Roland WIESER,1:25:58.2
429,Peter FRENKEL,1:26:42.4
430,Vladimir GOLUBNICHY,1:26:55.2
431,Hans REIMANN,1:27:16.6
432,Kenneth Joseph MATTHEWS,1:29:34.0
433,Dieter LINDNER,1:31:13.2
434,Vladimir GOLUBNICHY,1:31:59.4
435,Leonid SPIRIN,1:31:27.4
436,Antanas MIKENAS,1:32:03.0
437,Bruno JUNK,1:32:12.0
438,Conseslus KIPRUTO,8:03.28
439,Evan JAGER,8:04.28
440,Mahiedine MEKHISSI,8:11.52
441,Brimin Kiprop KIPRUTO,8:10.34
442,Mahiedine MEKHISSI-BENABBAD,8:10.49
443,Richard Kipkemboi MATEELONG,8:11.01
444,Reuben KOSGEI,08:21.43
